file,identity,n_from,n_to,len_from,len_to,lcp,lcs,changed_a_len,changed_b_len,kind,changed_a_hex,changed_b_hex
a,ID06,32,47,690,376,375,1,314,0,INSERTED_SPAN,0d001a0017000a5c4582fe9f33fa7d193c5f83bf05e4e4f1ce64cc90c72dddbbbd9db75ddbab0c9dcb5d9b6decf37a82fe4353f90d355cb2c09b66caaa0e2e126e5016589372a935960083f79b4de739b99b894489131312224002242253094cdf7f6e500a311882fea25bfa899c93272f8bcbcd5bbdddda82fe4a2bf928f82c4b9bcd96e759a084ec430de29ceb19c669a33be7e6c6130a321383fe192afe192fa8cd66b78ce26b823083fe01c0fe01c5ae11c1d2b535399e3d77d485e0cc9b1f0a38e18e18639f0b97230a3a1d82fe9f93fa7eb4c7872fab19b2b5bb766ec082fe317bf8c5fcdcdcdcde771a9dcf399a786e0083f883dbe33537994cdcae26626e6f7d7cdb000a2b1282fea223fa88d8b04b22478083fd781faf06b55c27515357377cf685e04c8b1b1c08e3861863c1e6d1c00d011a010902,
a,ID07,11,13,285,287,284,1,0,2,SMALL_DELTA,,0900
a,ID07,13,20,287,285,284,1,2,0,SMALL_DELTA,0900,
a,ID07,20,22,285,108,108,0,177,0,INSERTED_SPAN,170a81c0a0b0483c1a0f0682c12070283c1a070281c0a07024160841e0c040e0400045c087e06ee09f97095ca896cb096cb10b85205038643621118f47d2e97a6d374ea769b4dd3a9da6935964b53e9fcc2629b4dd3299a492543a1e82c11118812b952472247638506812d9626f3612f97097cb80129940000974bc9e4f65d2f9c4e68543a2516753b9c4e6753b9a4d671399e4f6793d9d4ee6d37994ce5d2f984c6592d4d26a4b25a04aa560004b4017,
a,ID08,21,38,113,539,0,113,0,426,INSERTED_SPAN,,3f1a83fe0002fe0005dd4dc5c4c4c5d4e27158e15c2a8083fe0d10fe0d1599d4d4546b5c31ca3471e3c7bf7e3cc084f076785f8f18c671119451470f078b384c0a533b82fe433bf90d192f8f3e9cdc4eddbbbdda964cc8932e22abbb6eb698c9c082fe76f3f9dc599e7d6f1244029b5b706632c22c2ceceb75b28083f8bbcd8f07be73bbb94a624131309112402250095f1f07d5900a533a82fe48abf9233e37c3c5e416edebab571192480d6dbb7b773bceface7082fe76f3f9dc119b8cb8904d5b556318c984b5765d5dd9daa083f82a21e3f8abbc9298984c484a62509a4153524c5aef8f97e4dc000a230c82fe4c6bf931b5b993120082fe7c63f9f1796b676ba086c553e816038b93ab8381800a593a83fe03e0fe03eba62fb55554cb379cdce6e6611515888a544cd66eb8b31bb94a91ac0082fe7743f9dd586e6c958c91328ada2f372482cb2e5b9bbbbdf2f284f080876f3c518a22114228442304608c008460114efd7ce8c00a371882fe5593f9565265cbcb3b9dddbbee6e8083fe0d54fe0d59889e178c62b55113733ce77c7285d0601041a1951a342850c33e0f3f0a100d011a0117260a
a,ID08,38,42,539,113,0,113,426,0,INSERTED_SPAN,3f1a83fe0002fe0005dd4dc5c4c4c5d4e27158e15c2a8083fe0d10fe0d1599d4d4546b5c31ca3471e3c7bf7e3cc084f076785f8f18c671119451470f078b384c0a533b82fe433bf90d192f8f3e9cdc4eddbbbdda964cc8932e22abbb6eb698c9c082fe76f3f9dc599e7d6f1244029b5b706632c22c2ceceb75b28083f8bbcd8f07be73bbb94a624131309112402250095f1f07d5900a533a82fe48abf9233e37c3c5e416edebab571192480d6dbb7b773bceface7082fe76f3f9dc119b8cb8904d5b556318c984b5765d5dd9daa083f82a21e3f8abbc9298984c484a62509a4153524c5aef8f97e4dc000a230c82fe4c6bf931b5b993120082fe7c63f9f1796b676ba086c553e816038b93ab8381800a593a83fe03e0fe03eba62fb55554cb379cdce6e6611515888a544cd66eb8b31bb94a91ac0082fe7743f9dd586e6c958c91328ada2f372482cb2e5b9bbbbdf2f284f080876f3c518a22114228442304608c008460114efd7ce8c00a371882fe5593f9565265cbcb3b9dddbbee6e8083fe0d54fe0d59889e178c62b55113733ce77c7285d0601041a1951a342850c33e0f3f0a100d011a0117260a,
a,ID09,41,45,322,326,321,1,0,4,SMALL_DELTA,,0d001a00
a,SENT,1,2,439,955,0,1,438,954,OTHER,341882fe0803f81fde1eaf8bcb2eaedbd9b68083fcb1df965f50ed3aac417333779bce7284f075e19f1d6f59ce68c518c6fb79f0880a2c1182fe0eabf83b7eb6d9a6e12083fcac9f95b75ae18d562a33c2e67286c1107005dc0c042c0c1c2cad5c0a04090017010a543082fe9383fa4ddbb35dcd6adb2b1e339cf1324bbbdef7bddd4df4f13c0083fcb35f96b57c33a9a62aab58d631888b9def7d77cf7bb44562b18a88c45c8083f8bbcfaf1face7773694889002262612895efdfea00a523482fe990bfa63da596d9d9b6ca92724e4c90db7bbbb6d24ccbcc083fcb21f96664ba94ea6b0c562a8379def799b61ad72d70d6346739df1e3c484f157260ecc51acd1442304608c0042308c002787bb58800a4b2583fe178cfe17932a753aaac5455cde6f79ce73777111a8e5cb5a83fcb11f96257abab89889422222aa2b11571777d6f8ef6084f0f6b9579759cef18c4461184442308c228df5f4e308800a563583fe19f4fe19fd9989d62b85561675bddf1999531188aa444ae6dc73c6f3df09c082fe1653f859746f8b62e24999895b7b6eac8c9248cb22def7e10084f0842076f3cd18c61381181194411846114020057b7b5380,442882fe22dbf88b9aef365cacb249c624b5dd6eedb66d8082fe5c03f9711c93c5f57c666658dbdbb52e4988b7b7cf9f6083f85b70f1fc59bbb99984813044826f8fa7de400a2b1083fd095fa10695d37a9c46e2779082fe5babf96f3919bcec59978086b08e828052c9a060e1e3ee6020c00a442782fe2b63f8adbaa8555a6478e678c9916f777cbb6882fe5ca3f9733ef32f8bcce73338d6f6f7bd6d6c924bc5a084f0f70610e8de309c671118118441142318d783cd220a321482fe2d8bf8b67d4b10b337c5990083fe070afe070dc5709e98c56a65b9e7df7dc085d355118dc7c30430c31c35e67070420a4c2883fd8f1fb2066273c230d555542599ce73bbbdced18474ae18c083fe06bcfe06bd2a713570b5c5c4d456ab18c62216cf1be7c79e4084eb6c821cdd338ce68c611211108a1142246bc7e5c40a452582fe39abf8e63bb769b964cbf05ce4936dbe775deaec83fe0710fe07238c631c23846a262ef3b9dacc5462222eef3be284f0a618423e018c53451844008ca28cf5f551800a240c83fdcb1fb91eb18d728c4e7682fe5b23f96c5736b6da87b8496010150e131399a0700017000a341583fd445fa89666331692a31ae1cb5ae084f938be4e94250a52d8b266c59a909e3c7b738084f03706abc6b1991846339f277c400a351682fe4d0bf934365cdf1aeaf5b5797083fc9a1f9357923863a638544c5e73d6f3cf6085d447045998608238638e1430c77e6e18400a381683fe04b4fe04bb8b2e3717338638574e1ad084f9343e4d3a523819299a982945f1e5cbb75e5085d14114f8b810c70c70c286386fd2a1840a2e1282fe5713f95c59de79e6cade464c84f961be58b9314b15b052908cf0e5d3a484f0e706f8e73c35ac62be1e9e500a3d1b83fe064efe064b8c5469569bcedcedb44d563483fca71f94de6f1389d6318e158a894e77d77d78f385e10c9c1067e582086386342218214b8fc8a10017010a331283fe13c0fe13c59ce71c719c4e35ae9db87284f939be4f1a49929a3162cd8305d973e585d8471438fa52c70c30c75e9678230a2f1283fe1b36fe1b318abd71ae2ce672850084f9513e54560669646284186f7cf8c084f13756b59de71ba35af477c6300a391a82feb3dbfacf5a7735b3b9ab26667ace730083fcae5f95ff19d5d553870c70c62939e39ebd77c484f0e72671c33bde754e13811470e9e7910a543382feb713fadc932f1cc93176ef7ceef5a7273399c617777bdeef7aec82fe173bf85cfd66f8f39ac31e1c8cb5dbad0ce4c9c72cbbaf7dd084f106f43af38cea8a111184611422845184608ca2846011c7e018a20901
a,SENT,2,3,955,492,0,1,954,491,OTHER,442882fe22dbf88b9aef365cacb249c624b5dd6eedb66d8082fe5c03f9711c93c5f57c666658dbdbb52e4988b7b7cf9f6083f85b70f1fc59bbb99984813044826f8fa7de400a2b1083fd095fa10695d37a9c46e2779082fe5babf96f3919bcec59978086b08e828052c9a060e1e3ee6020c00a442782fe2b63f8adbaa8555a6478e678c9916f777cbb6882fe5ca3f9733ef32f8bcce73338d6f6f7bd6d6c924bc5a084f0f70610e8de309c671118118441142318d783cd220a321482fe2d8bf8b67d4b10b337c5990083fe070afe070dc5709e98c56a65b9e7df7dc085d355118dc7c30430c31c35e67070420a4c2883fd8f1fb2066273c230d555542599ce73bbbdced18474ae18c083fe06bcfe06bd2a713570b5c5c4d456ab18c62216cf1be7c79e4084eb6c821cdd338ce68c611211108a1142246bc7e5c40a452582fe39abf8e63bb769b964cbf05ce4936dbe775deaec83fe0710fe07238c631c23846a262ef3b9dacc5462222eef3be284f0a618423e018c53451844008ca28cf5f551800a240c83fdcb1fb91eb18d728c4e7682fe5b23f96c5736b6da87b8496010150e131399a0700017000a341583fd445fa89666331692a31ae1cb5ae084f938be4e94250a52d8b266c59a909e3c7b738084f03706abc6b1991846339f277c400a351682fe4d0bf934365cdf1aeaf5b5797083fc9a1f9357923863a638544c5e73d6f3cf6085d447045998608238638e1430c77e6e18400a381683fe04b4fe04bb8b2e3717338638574e1ad084f9343e4d3a523819299a982945f1e5cbb75e5085d14114f8b810c70c70c286386fd2a1840a2e1282fe5713f95c59de79e6cade464c84f961be58b9314b15b052908cf0e5d3a484f0e706f8e73c35ac62be1e9e500a3d1b83fe064efe064b8c5469569bcedcedb44d563483fca71f94de6f1389d6318e158a894e77d77d78f385e10c9c1067e582086386342218214b8fc8a10017010a331283fe13c0fe13c59ce71c719c4e35ae9db87284f939be4f1a49929a3162cd8305d973e585d8471438fa52c70c30c75e9678230a2f1283fe1b36fe1b318abd71ae2ce672850084f9513e54560669646284186f7cf8c084f13756b59de71ba35af477c6300a391a82feb3dbfacf5a7735b3b9ab26667ace730083fcae5f95ff19d5d553870c70c62939e39ebd77c484f0e72671c33bde754e13811470e9e7910a543382feb713fadc932f1cc93176ef7ceef5a7273399c617777bdeef7aec82fe173bf85cfd66f8f39ac31e1c8cb5dbad0ce4c9c72cbbaf7dd084f106f43af38cea8a111184611422845184608ca2846011c7e018a20901,321882fe86fbfa1c5b7bcef2ca9a4478990082fe15fbf8583cc99332382eedf3777485d45101a58d0c31a142861a6dc2e1e0000a2c1282fe841bfa107b9de7668ac90083fccd5f99be97c9c2358c566af7c485d1551c73cb5cf3c71c31e074a8c017020a553582fe0d83f8363c4e67399926ddef7bdeeef6dd832e319267339e3999cd5f2082fe5cc3f9739c9df8240b37958909625b28b56b6eddb3664084f106f8473f363184631463088422422046510846114231d7d98a6009000a311383fd005fa03f30bd5d45570c63a72c7083fe0656fe06538e188e4e5589d4e5beb985db5683274c11a3851c781cfc30800a311383fe0062fe004d19c718ce56da268083fe0676fe06698e1c31c152cee79df3e3c485dc528b2f2c29658618e5c0e750800a361682fe4babf92f3d82cd91399cf53c4e0084fc0cc5f819a52a305315b152d49b0d74e7cf9485e0ac4c1063f0b2c50c28c863972393210a4e2b83fe0426fe042b998babab84c14c622aa2a66ef377bdad57c31cb083fe06f8fe070189aba52b18e1558ab5e73bde7396508c44f0ba4d8084f0252128f6ea8ce318a2844230008448df9fbe28800a391882fe544bf951bc4e5e4c65bdbdeefb9d4084fc0d11f81a564596860a62a62a4109e7cbaf5e3085d05d041067e7851c31c10c2852e2f324600d011a010902
a,SENT,3,8,492,68,0,7,485,61,OTHER,321882fe86fbfa1c5b7bcef2ca9a4478990082fe15fbf8583cc99332382eedf3777485d45101a58d0c31a142861a6dc2e1e0000a2c1282fe841bfa107b9de7668ac90083fccd5f99be97c9c2358c566af7c485d1551c73cb5cf3c71c31e074a8c017020a553582fe0d83f8363c4e67399926ddef7bdeeef6dd832e319267339e3999cd5f2082fe5cc3f9739c9df8240b37958909625b28b56b6eddb3664084f106f8473f363184631463088422422046510846114231d7d98a6009000a311383fd005fa03f30bd5d45570c63a72c7083fe0656fe06538e188e4e5589d4e5beb985db5683274c11a3851c781cfc30800a311383fe0062fe004d19c718ce56da268083fe0676fe06698e1c31c152cee79df3e3c485dc528b2f2c29658618e5c0e750800a361682fe4babf92f3d82cd91399cf53c4e0084fc0cc5f819a52a305315b152d49b0d74e7cf9485e0ac4c1063f0b2c50c28c863972393210a4e2b83fe0426fe042b998babab84c14c622aa2a66ef377bdad57c31cb083fe06f8fe070189aba52b18e1558ab5e73bde7396508c44f0ba4d8084f0252128f6ea8ce318a2844230008448df9fbe28800a391882fe544bf951bc4e5e4c65bdbdeefb9d4084fc0d11f81a564596860a62a62a4109e7cbaf5e3085d05d041067e7851c31c10c2852e2f32460,3c1b82fe414bf904bb79b8645dbbe67c39d9dc2083fd391fa75eaf53cab970e1c35d2a26ef9e79f5e7c79ec084f0f706f5bdf0d635451448a37e9eb440
b,ID01,47,58,413,1150,412,1,0,737,INSERTED_SPAN,,0d001a00090017350a4a2c82fe6113f9845679e772da2ccb938e632adedeeeddb6c5c082fe8033fa00f7232f1182e9d59264932abcb7bbf0f7de8083f80b117e6dc6733329bab8926ae089898984cce7bf8be1800a301283fe0810fe080788c470610b9cdeec83fe105efe106b88be1bc5a2d7a44085cd60208b0b818678e58638f0799950800a432b82fe6923f9a4dc6e59b2cd972e5898ce49c62db77aeece8082fe827bfa09bd9971970955b5b6dab254972cb96083f7a23c1ea8bb4ca662c92626244c48bbe7c7cbb90a2e1382fe6bf3f9b01959b9437c5c6083fe106efe1069aae13aac1377c77be79085de5f03330c12cb1a18e3c0e748400a442882fe712bf9c4fb8be1c99930b777cbcedeed6e5e639ce5c082fe81f3fa07b22e5b9aaa1326666664cadefbdf7efa84f015251877e28d48a308a11208c118222b8fba880a4b2e82fe7933f9e4d6e6e6e6e76370c93246596d6bab75abb28082fe826bfa0a392f13c332659b6deedd6c6339320ddbf0df7df284f1370632e7e58c6b34489089181182300844470f2782880a290e83fe0e2efe0e1bad562a1bbdf1c882fe820bfa087589b9c84086c3923010301806060e2ece4e020c0a220c83fe108cfe108d88ad6b55116082fe85bbfa16d6db3b0c86c04802de1e26ee0e040a311582fe8af3fa2bf2f379b2cee5be2a4083fe10b2fe10b92270e18c70e51519cefbf584e96893877aceb54e138df3f551880a503582fe8d8bfa3639cdf5de55b776eacd9972491109aeceddb52f33338082fe831bfa0c7acb18c88aae9a218c9919616b6ebe59db4083f8c3d59f178cee6d6b44a62624984c4c4262251212be3e3fa7000a311382fe926bfa499a9bcee6e6c9b31c83fe10d0fe10d1a88e11ac522f33d79f1e2085e0ac3c0cad31cb0c70c30d389c9c200a442982fe9523fa54964930b6eedececb192667266496bbbde882fe83a3fa0eb89624bc49c465b66f65ab56cef34084f0a5e07806a8c48a30461142242308c04637eaeb8a200d011a010901
